name,context
Alyson Hannigan,act
Angela Merkel,polit
Barack Obama,polit
Caren Miosga,host
Emily Deschanel,act
Guenther Jauch,host
Hugh Laurie,act
Jason Segel,act
Katja Burkard,host
Mariska Hargitay,act
Neil Patrick Harris,act
Nicole Kidman,act
Robert Sean Leonard,act
Will Smith,act music
Bastian Schweinsteiger,sport
Benedict Cumberbatch,act
Beyonce,music
Britney Spears,music
Cobie Smulders,act
Cristin Milioti,act
Dann Florek,act
Elvis Presley,music
Emma Watson,act
George Clooney,act
Ice-T,act music
Jan Hofer,host
Jim Parsons,act
Joachim Loew,sport
Josh Radnor,act
Judith Rakers,host
Kaley Cuoco,act
Leonardo DiCaprio,act
Lisa Edelstein,act
Mila Kunis,act
Omar Epps,act
Sahra Wagenknecht,polit
Shakira,music
Sigmar Gabriel,polit
Taylor Swift,music
Tom Cruise,act
Ursula vonderLeyen,polit
Usher,music
