img,name,context,descript
./img/AlysonHannigan(Lily)1.jpg,Alyson Hannigan,Schauspielerin,"""How I Met Your Mother"" (Lily Aldrin)"
./img/AngelaMerkel1.jpg,Angela Merkel,Politikerin,Bundeskanzlerin CDU
./img/BarackObama2.jpg,Barack Obama,Politiker,Präsident der USA Demokratische Partei
./img/CarenMiosga4.jpg,Caren Miosga,Moderatorin,"""tagesthemen"" früher ""ttt - titel thesen temperamente"""
./img/EmilyDeschanel3.jpg,Emily Deschanel,Schauspielerin,"""Bones - Die Knochenjägerin"" (Dr. Temperance 'Bones' Brennan)"
./img/GuentherJauch2.jpg,Günther Jauch,Moderator ,"""Wer wird Millionär?"" früher ""stern TV"""
./img/HughLaurie(DrHouse)9.jpg,Hugh Laurie,Schauspieler ,"""Dr. House"" (Dr. Gregory House)"
./img/JasonSegel(Marshall)2.jpg,Jason Segel,Schauspieler,"""How I Met Your Mother"" (Marshall Eriksen)"
./img/KatjaBurkard5.jpg,Katja Burkard,Moderatorin,"""Punkt 12"" bei RTL"
./img/MariskaHargitay(Liv)1.jpg,Mariska Hargitay,Schauspielerin,"""Law & Order: Special Victims Unit"" (Olivia 'Liv' Benson)"
./img/NeilPatrickHarris(Barney)4.jpg,Neil Patrick Harris,Schauspieler,"""How I Met Your Mother"" (Barney Stinson)"
./img/NicoleKidman4.jpg,Nicole Kidman,Schauspielerin,"""Australia"" ""Moulin Rouge"" ""To Die For"""
./img/RobertSeanLeonard(Wilson)2.jpg,Robert Sean Leonard,Schauspieler,"""Dr. House"" (Dr. James Wilson)"
./img/WillSmith4.jpg,Will Smith,Schauspieler,"""I Am Legend"" ""Independence Day"" ""Men in Black""-Filme"
./img/BastianSchweinsteiger1.jpg,Bastian Schweinsteiger,Sportler,Fußballspieler bei Manchester United früher FC Bayern München
./img/BenedictCumberbatch4.jpg,Benedict Cumberbatch,Schauspieler,"""Der Hobbit""-Filme (Stimme des Drachen Smaug) ""Sherlock"""
./img/Beyonce2.jpg,Beyoncé,Sängerin,"""Crazy in Love"" ""Halo"" ""If I Were a Boy"" ""Single Ladies"""
./img/BritneySpears5.jpg,Britney Spears,Sängerin,"""…Baby One More Time"" ""Oops! …I Did It Again"" ""Toxic"""
./img/CobieSmulders(Robin)2.jpg,Cobie Smulders,Schauspielerin,"""How I Met Your Mother"" (Robin Scherbatsky)"
./img/CristinMilioti(Tracy_Mutter)1.jpg,Cristin Milioti,Schauspielerin,"""How I Met Your Mother"" (Tracy Mosby die Mutter)"
./img/DannFlorek(DonaldDonCragen)1.jpg,Dann Florek,Schauspieler,"""Law & Order: Special Victims Unit"" (Donald 'Don' Cragen)"
./img/ElvisPresley1.jpg,Elvis Presley,Sänger,"""Hound Dog"" ""In the Ghetto"" ""Jailhouse Rock"""
./img/EmmaWatson(HermioneGranger)1.jpg,Emma Watson,Schauspielerin,"""Harry Potter""-Filme (Hermione Granger)"
./img/GeorgeClooney6.jpg,George Clooney,Schauspieler,"""Batman & Robin"" ""Gravity"" ""Ocean's Eleven"""
./img/Ice-T(OdafinFinTutuola)1.jpg,Ice-T,Schauspieler und Musiker,"""Law & Order: Special Victims Unit"" (Odafin 'Fin' Tutuola)"
./img/JanHofer1.jpg,Jan Hofer,Nachrichtensprecher,"""Tagesschau"" in der ARD"
./img/JimParsons(SheldonCooper)1.jpg,Jim Parsons,Schauspieler,"""The Big Bang Theory"" (Dr. Sheldon Cooper)"
./img/JoachimLoew1.jpg,Joachim Löw,Trainer,Bundestrainer der deutschen Fußballnationalmannschaft
./img/JoshRadnor(Ted)1.jpg,Josh Radnor,Schauspieler,"""How I Met Your Mother"" (Ted Mosby)"
./img/JudithRakers7.jpg,Judith Rakers,Nachrichtensprecherin,"""Tagesschau"" in der ARD"
./img/KaleyCuoco(Penny)2.jpg,Kaley Cuoco,Schauspielerin,"""The Big Bang Theory"" (Penny Hofstadter)"
./img/LeonardoDiCaprio1.jpg,Leonardo DiCaprio,Schauspieler,"""Django Unchained"" ""The Great Gatsby"" ""Titanic"""
./img/LisaEdelstein(DrLisaCuddy)2.jpg,Lisa Edelstein,Schauspielerin,"""Dr. House"" (Dr. Lisa Cuddy)"
./img/MilaKunis5.jpg,Mila Kunis,Schauspielerin,"""Black Swan"" ""Freunde mit gewissen Vorzügen"" ""Ted"""
./img/OmarEpps(DrEricForeman)1.jpg,Omar Epps,Schauspieler,"""Dr. House"" (Dr. Eric Foreman)"
./img/SahraWagenknecht6.jpg,Sahra Wagenknecht,Politikerin  ,Fraktionsvorsitzende DIE LINKE
./img/Shakira1.jpg,Shakira,Sängerin,"""Hips Don't Lie"" ""Waka Waka"" ""Whenever Wherever"""
./img/SigmarGabriel1.jpg,Sigmar Gabriel,Politiker,Bundesminister für Wirtschaft und Energie & Parteivorsitzender SPD
./img/TaylorSwift1.jpg,Taylor Swift,Sängerin,"""Blank Space"" ""I Knew You Were Trouble"" ""Shake It Off"""
./img/TomCruise2.jpg,Tom Cruise,Schauspieler,"""Knight and Day"" ""Mission: Impossible""-Filme ""Oblivion"""
./img/UrsulavonderLeyen1.jpg,Ursula von der Leyen,Politikerin,Bundesministerin der Verteidigung CDU
./img/Usher1.jpg,Usher,Sänger,"""DJ Got Us Fallin' in Love"" ""More"" ""OMG"" ""Yeah!"""
