,,edges,edges,edges,gray,gray,gray,inner,inner,inner,smoo,smoo,smoo
,,familiarity,context,naming,familiarity,context,naming,familiarity,context,naming,familiarity,context,naming
con,1,100.0,100.0,78.5714285714,100.0,100.0,76.1904761905,65.6,79.2,46.4,90.4761904762,100.0,69.0476190476
con,10,91.6666666667,96.6666666667,83.3333333333,98.3333333333,100.0,85.0,91.875,89.375,71.25,95.0,98.3333333333,83.3333333333
con,11,52.0833333333,66.6666666667,16.6666666667,66.6666666667,72.9166666667,25.0,40.0,50.0,21.8181818182,52.0833333333,60.4166666667,16.6666666667
con,12,91.6666666667,93.75,64.5833333333,91.6666666667,95.8333333333,68.75,77.6923076923,69.2307692308,46.1538461538,72.9166666667,75.0,58.3333333333
con,13,80.5555555556,97.2222222222,61.1111111111,94.4444444444,91.6666666667,66.6666666667,86.3157894737,89.4736842105,69.4736842105,80.5555555556,91.6666666667,66.6666666667
con,14,84.3137254902,70.5882352941,36.8421052632,78.431372549,78.431372549,45.6140350877,71.5384615385,66.1538461538,12.1428571429,84.3137254902,64.7058823529,33.3333333333
con,15,81.4814814815,87.037037037,70.3703703704,92.5925925926,90.7407407407,74.0740740741,61.4814814815,71.8518518519,50.3703703704,87.037037037,92.5925925926,70.3703703704
con,16,100.0,100.0,70.0,98.3333333333,100.0,70.0,92.9411764706,98.8235294118,73.5294117647,98.3333333333,98.3333333333,70.0
con,17,75.9259259259,83.3333333333,29.8245614035,87.037037037,88.8888888889,35.0877192982,74.8148148148,72.5925925926,35.7142857143,70.3703703704,70.3703703704,33.3333333333
con,18,100.0,94.4444444444,94.4444444444,100.0,98.1481481481,94.4444444444,74.2857142857,85.1428571429,62.2857142857,96.2962962963,94.4444444444,88.8888888889
con,19,75.9259259259,94.4444444444,64.8148148148,85.1851851852,98.1481481481,74.0740740741,55.3333333333,76.6666666667,47.3333333333,66.6666666667,94.4444444444,59.2592592593
con,2,92.9824561404,100.0,78.9473684211,92.9824561404,100.0,78.9473684211,83.125,87.5,70.0,91.2280701754,98.2456140351,64.9122807018
con,20,95.4545454545,95.4545454545,63.6363636364,96.9696969697,93.9393939394,66.6666666667,81.2121212121,86.6666666667,50.9090909091,89.3939393939,93.9393939394,62.1212121212
con,21,95.2380952381,100.0,61.9047619048,95.2380952381,98.4126984127,61.9047619048,93.3333333333,95.0,57.7777777778,93.6507936508,100.0,61.9047619048
con,22,98.4126984127,96.8253968254,71.4285714286,100.0,96.8253968254,74.6031746032,96.1111111111,97.2222222222,58.3333333333,98.4126984127,96.8253968254,71.4285714286
con,23,100.0,100.0,81.4814814815,100.0,98.1481481481,83.3333333333,65.9259259259,81.4814814815,17.7777777778,85.1851851852,96.2962962963,66.6666666667
con,24,95.652173913,94.2028985507,71.0144927536,100.0,97.1014492754,72.4637681159,85.641025641,87.6923076923,54.358974359,98.5507246377,97.1014492754,69.5652173913
con,25,100.0,100.0,68.115942029,100.0,98.5507246377,68.115942029,83.3333333333,86.1111111111,55.5555555556,98.5507246377,98.5507246377,66.6666666667
con,26,100.0,100.0,100.0,98.3333333333,96.6666666667,100.0,90.8571428571,90.2857142857,77.7142857143,95.0,91.6666666667,93.3333333333
con,27,97.619047619,97.619047619,76.1904761905,97.619047619,100.0,78.5714285714,73.0434782609,80.8695652174,57.3913043478,92.8571428571,88.0952380952,73.8095238095
con,4,100.0,100.0,58.3333333333,100.0,98.6111111111,58.3333333333,98.0487804878,93.1707317073,49.2682926829,100.0,100.0,58.3333333333
con,5,100.0,98.6111111111,62.5,100.0,98.6111111111,62.5,95.1219512195,97.0731707317,61.4634146341,100.0,100.0,62.5
con,6,94.4444444444,92.5925925926,50.0,100.0,98.1481481481,50.0,88.125,89.375,39.375,94.4444444444,92.5925925926,48.1481481481
con,7,100.0,98.1481481481,83.3333333333,100.0,96.2962962963,83.3333333333,87.5,88.75,66.875,98.1481481481,94.4444444444,81.4814814815
con,8,89.3939393939,90.9090909091,72.7272727273,90.9090909091,95.4545454545,72.7272727273,89.4736842105,90.5263157895,72.6315789474,87.8787878788,93.9393939394,72.7272727273
con,9,98.4848484848,100.0,62.1212121212,98.4848484848,96.9696969697,63.6363636364,85.0,87.7777777778,58.8888888889,86.3636363636,89.3939393939,53.0303030303
JB,JB,69.696969697,81.8181818182,60.6060606061,93.9393939394,93.9393939394,84.8484848485,31.3043478261,58.2608695652,13.9130434783,60.6060606061,81.8181818182,48.4848484848
JB*,JB*,91.6666666667,97.2222222222,91.6666666667,100.0,100.0,100.0,72.3076923077,80.0,68.5714285714,69.4444444444,97.2222222222,69.4444444444
